Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Comenium o.p.s.,3.85519237
"Základní škola Trivium Plus o.p.s. Dobřany, okres Rychnov nad Kněžnou",3.79920008
"Vzdělávací institut AGEL, o.p.s.",3.79490018
TOOCAN HELP o.p.s.,3.78380831
"DOMINO cz, o. p. s.",3.77485473
Asistence o.s.,3.7463225899999997
"KOKOZA, o.p.s.",3.7184080300000004
Římskokatolická farnost Plasy,3.7174038599999997
Římskokatolická farnost Ostravice,3.66854382
"Zámek Brtnice, o.p.s.",3.58636592
FOKUS Liberec o.p.s.,3.5472072000000003
ISIS - M o.p.s.,3.5422688300000003
"Soukromá mateřská škola, základní škola a střední škola Slunce, o.p.s.",3.5336491299999997
Římskokatolická farnost Třemešná,3.50985483
"Nadace pro rozvoj v oblasti umělé výživy, metabolismu a gerontologie",3.49146802
"Institut pro památky a kulturu, o.p.s.",3.41503092
"IT4CARE, o.p.s.",3.3594742799999997
"Vyšší odborná škola hotelnictví a turismu, o.p.s.",3.30794234
"Centrum uznávání a celoživotního učení Pardubického kraje, o.p.s.",3.30104536
Evropské sociálně zdravotní centrum Praha o.p.s.,3.29135982
Hradubická energetická o.p.s.,3.2827019400000004
Oblastní charita Uherský Brod,3.27941833
"CLEAR SERVIS, o.p.s.",3.25869803
"Služby Hnojník, o.p.s.",3.221307
Římskokatolická farnost Andělská Hora ve Slezsku,3.2200542000000003
"Srdce a čin, o.p.s.",3.21663176
Místní akční skupina Hlubocko - Lišovsko o.p.s.,3.0988095999999996
"Bioinstitut, o. p. s.",3.0838061
Charita sv. Anežky Otrokovice,3.0739012900000002
"MENS SANA, o.p.s.",3.06512552
"Transparency International - Česká republika, o.p.s.",3.05539359
"Regio Písek, o.p.s.",3.0492345899999997
Obnova zámeckých zahrad a zámku Choustník o.p.s.,3.03080024
"DĚTSKÝ KLÍČ Šumperk, o.p.s.",3.0301032
Koinonia Giovanni Battista - Koinonia Jan Křtitel,2.9966682000000002
Česko-britská o.p.s.,2.97983821
Komunikujeme o.p.s.,2.97106187
"Mateřská škola Semínko, o.p.s.",2.96675529
"POINT 50+, obecně prospěšná společnost",2.95879054
ERGO Aktiv,2.92256453
"Základní škola speciální NONA, o.p.s.",2.91920534
"Nakladatelství PASPARTA, o.p.s.",2.9122733199999997
Most pro lidská práva,2.87746975
"Horní hrad, o.p.s.",2.8607689900000004
Římskokatolická farnost Hodslavice,2.84163815
Důl Jan Šverma o.p.s.,2.8127257799999996
"In IUSTITIA, o.p.s.",2.74686893
"Střední škola sociálních a zdravotnických služeb Vesna, o.p.s.",2.7383275400000002
Soukromá podřipská střední odborná škola a střední odborné učiliště o.p.s.,2.73572929
"Handicap centrum Srdce, o.p.s.",2.70857149
NuArt o.p.s.,2.6977608199999996
Římskokatolická farnost Horní Suchá,2.6960346
Biskupství královéhradecké,2.67761341
"Lávka, o.p.s.",2.67670983
Obecně prospěšná společnost Máchovo jezero,2.6049060099999997
"ForAgria - vzdělávací středisko lesnictví a zemědělství, o.p.s.",2.59993412
"Brána, o.p.s.",2.58033052
Římskokatolická farnost Zděchov,2.566171
"Soukromé gymnázium AD FONTES, o.p.s.",2.55361651
"Anabell, o.p.s.",2.55295082
Charita Valašské Meziříčí,2.54389367
"Centrum uznávání celoživotního učení Jihočeského kraje, o.p.s.",2.54382594
Diecézní katolická charita Hradec Králové,2.53729567
Římskokatolická farnost Ostrava - Přívoz,2.52653102
Medela-péče o seniory o.p.s.,2.51126059
"MAS 21, o.p.s.",2.507622
"""Nadace Východočeská onkologie""",2.49321512
"DOTYK II, o.p.s.",2.46935492
Římskokatolická farnost Horní Lomná,2.46625694
"ENKI, o.p.s.",2.461549
Římskokatolická farnost Ostrava - Třebovice,2.449908
"KULTURNÍ CENTRUM ALBERTOVEC, o. p. s.",2.4391629100000003
"Středomoravská agentura rozvoje venkova, o.p.s.",2.4369759500000003
Jesenická rozvojová o.p.s.,2.42691377
Římskokatolická farnost Dobrá,2.40594324
"BONA, o.p.s.",2.3836768399999997
TABITA o.p.s.,2.3752987
Farní charita Tábor,2.37244067
Biskupství ostravsko-opavské,2.3326682
"Střední Haná, o.p.s.",2.327243
OCCASIO o.p.s.,2.309083
