Hosp.právní forma,Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Obecně prospěšná společnost,TyfloCentrum Praha  o.p.s.,6.25454189
Obecně prospěšná společnost,"Bílý nosorožec, o.p.s.",6.22794771
Obecně prospěšná společnost,Institut pro regionální spolupráci,6.16994083
Obecně prospěšná společnost,"Otevřená společnost, o.p.s.",6.1627123500000005
Obecně prospěšná společnost,"Vzdělávací, sociální a kulturní středisko při Nadaci Jana Pivečky, o.p.s.",6.162124019999999
Obecně prospěšná společnost,"Alternativa 50+, o.p.s.",6.14668887
Obecně prospěšná společnost,"Socln, o.p.s.",6.11760671
Obecně prospěšná společnost,Suchopýr o.p.s.,6.05303768
Obecně prospěšná společnost,Via Roseta o.p.s.,6.0370703
Obecně prospěšná společnost,"MAS Uničovsko, o.p.s.",5.9726146799999995
Obecně prospěšná společnost,Posázaví o.p.s.,5.9649236299999995
Obecně prospěšná společnost,"Partners Czech, o.p.s.",5.838551109999999
Obecně prospěšná společnost,Nymburská o.p.s.,5.83835994
Obecně prospěšná společnost,4PEOPLE ASSOCIATION o.p.s.,5.689334400000001
Obecně prospěšná společnost,"Národní vinařské centrum, o.p.s.",5.64029357
Nadace,Nadace rozvoje občanské společnosti,5.563888769999999
Nadace,Nadace dřevo pro život,5.56249622
Obecně prospěšná společnost,"SOUŽITÍ 2005, o.p.s.",5.549924
Obecně prospěšná společnost,"FIGURKA, o.p.s.",5.53820253
Obecně prospěšná společnost,"Agentura Osmý den, o.p.s.",5.50553129
Obecně prospěšná společnost,"Energetická agentura Zlínského kraje, o.p.s.",5.49060881
Obecně prospěšná společnost,"Burma Center Prague, o.p.s.",5.465968719999999
Obecně prospěšná společnost,"Centrum ekonomického vzdělávání Ostrava, o.p.s.",5.45728612
Obecně prospěšná společnost,"Vesněnka, o.p.s.",5.43648995
Obecně prospěšná společnost,"Educa International, o.p.s.",5.3781776
Obecně prospěšná společnost,Všude dobře o.p.s.,5.37489901
Obecně prospěšná společnost,"Soukromá vyšší odborná škola sociální, o.p.s.",5.343826679999999
Obecně prospěšná společnost,Letohradské soukromé gymnázium o.p.s.,5.312772150000001
Obecně prospěšná společnost,Geopark Český ráj o.p.s.,5.2909090800000005
Obecně prospěšná společnost,"CEVRO Institut, o.p.s.",5.22921096
Obecně prospěšná společnost,Geopark Ralsko o.p.s.,5.218957690000001
Obecně prospěšná společnost,"Jihočeské zemědělské muzeum, o.p.s.",5.11964138
Obecně prospěšná společnost,"Centrum protidrogové prevence a terapie, o.p.s.",5.109599029999999
Obecně prospěšná společnost,"Hubbardova akademie administrativy Brno, o.p.s",5.08042346
Obecně prospěšná společnost,Střední odborné učiliště Sedlčany o.p.s.,5.05275725
Obecně prospěšná společnost,"Institut moderního vzdělávání, o.p.s.",5.0011236
Obecně prospěšná společnost,"ALZHEIMER´S SUPPORT CENTER CZECH REPUBLIC, o.p.s.",4.99842608
Obecně prospěšná společnost,"proFem - Konzultační středisko pro ženské projekty, o.p.s.",4.945679190000001
Obecně prospěšná společnost,"MAS Podlipansko, o.p.s.",4.937016949999999
Nadační fond,Nadační fond Jendy Rajmana,4.92671715
Obecně prospěšná společnost,Institut vzdělávání v zemědělství o.p.s.,4.91655142
Obecně prospěšná společnost,"Střední škola ekonomicko-podnikatelská Studénka, o. p. s.",4.912672980000001
Obecně prospěšná společnost,"JIZERSKÁ, o.p.s.",4.85049097
Obecně prospěšná společnost,Společnost pro komunitní práci Vsetín o.p.s.,4.81714704
Obecně prospěšná společnost,FUTURUM FAMILY o.p.s.,4.817124450000001
Obecně prospěšná společnost,"Trutnovská zeleň, o.p.s.",4.77865092
Obecně prospěšná společnost,"Evropský institut pro smír, mediaci a rozhodčí řízení, o.p.s. (zkráceně: ESI, o.p.s.)",4.74358874
Obecně prospěšná společnost,"RÝMAŘOVSKO,  o.p.s.",4.72790485
Obecně prospěšná společnost,"První Férová, o.p.s.",4.69896048
Obecně prospěšná společnost,"Česká krajina, o.p.s.",4.6689824699999996
Obecně prospěšná společnost,"Akademie veřejné správy, o.p.s.",4.61850761
Obecně prospěšná společnost,"UnikaCentrum, o.p.s.",4.61263232
Obecně prospěšná společnost,"Vysoká škola Karlovy Vary, o.p.s.",4.589554980000001
Nadace,Nadace Živoucí světlo Maháprabhudíp satsang,4.57617866
Obecně prospěšná společnost,"Komuniké, o.p.s.",4.56482744
Obecně prospěšná společnost,"Slezské zemské dráhy, o.p.s.",4.539552
Obecně prospěšná společnost,Meridiem o.p.s.,4.52226311
Obecně prospěšná společnost,"SKP-CENTRUM, o.p.s.",4.51509783
Obecně prospěšná společnost,"Bohemia JazzFest, o.p.s.",4.41236267
Obecně prospěšná společnost,"PECKA - Centrum celoživotního vzdělávání Karlovy Vary, o.p.s.",4.36564995
Obecně prospěšná společnost,"Focus on education, o.p.s.",4.3537633200000005
Obecně prospěšná společnost,"BRANKA, o.p.s.",4.3273978
Nadační fond,Český nadační fond pro vydru,4.28473029
Obecně prospěšná společnost,"Otevřené srdce, o.p.s.",4.272568349999999
Obecně prospěšná společnost,"HUMANITAS AFRIKA, o. p. s.",4.269051849999999
Obecně prospěšná společnost,"Naproti, obecně prospěšná společnost",4.26390846
Obecně prospěšná společnost,"Středisko rozvoje sociálních služeb, o.p.s.",4.21113442
Obecně prospěšná společnost,"Azylový dům pro muže, o.p.s.",4.18706975
Obecně prospěšná společnost,"KoCeRo - komunitní centrum Romů, o.p.s.",4.17181655
Obecně prospěšná společnost,TyfloCentrum Ústí nad Labem o.p.s.,4.16620645
Obecně prospěšná společnost,"ALKA Wildlife, o.p.s.",4.0974628200000005
Obecně prospěšná společnost,SKI Libín 1096 o.p.s.,4.08933633
Obecně prospěšná společnost,Ledax o.p.s.,4.05638721
Obecně prospěšná společnost,Služby Jihlavské Terasy o.p.s.,4.01475542
Obecně prospěšná společnost,"Výzkumné centrum VŠERS, obecně prospěšná společnost",3.96992305
Obecně prospěšná společnost,DŽIVIPEN o.p.s.,3.96755058
Obecně prospěšná společnost,"Vzdělávací středisko VEGA, o.p.s.",3.95488095
Obecně prospěšná společnost,Sociální podnik KOVOLES o.p.s.,3.9109186499999997
Obecně prospěšná společnost,Gymnázium J.Seiferta o.p.s.,3.90463372
Obecně prospěšná společnost,Spolu dětem o.p.s.,3.90331569
Obecně prospěšná společnost,Comenium o.p.s.,3.85519237
Obecně prospěšná společnost,"Základní škola Trivium Plus o.p.s. Dobřany, okres Rychnov nad Kněžnou",3.79920008
Obecně prospěšná společnost,"Vzdělávací institut AGEL, o.p.s.",3.79490018
Obecně prospěšná společnost,TOOCAN HELP o.p.s.,3.78380831
Obecně prospěšná společnost,"DOMINO cz, o. p. s.",3.77485473
Obecně prospěšná společnost,Asistence o.s.,3.7463225899999997
Obecně prospěšná společnost,"KOKOZA, o.p.s.",3.7184080300000004
